CustomerID,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,IncomeCategory,AgeGroup,ProdTaken
300000,27.0,1,3,15.0,1,1,3,5.0,1,5.0,3,8.0,0,3,1,2.0,2,24004.0,1,1,1
300001,29.0,1,1,23.0,3,1,4,3.0,1,5.0,3,2.0,0,5,0,3.0,2,24339.0,1,1,0
300002,23.0,1,1,6.0,2,1,2,3.0,0,3.0,0,2.0,0,4,0,1.0,1,16223.0,1,0,0
300003,38.0,1,3,8.0,3,0,3,5.0,1,3.0,1,3.0,1,3,0,0.0,2,20405.0,1,2,0
300004,33.0,1,1,21.0,3,1,2,3.0,3,3.0,0,1.0,1,5,0,0.0,3,28610.0,2,1,1
300005,44.0,1,1,15.0,2,0,3,4.0,1,4.0,1,6.0,0,3,1,1.0,2,23443.0,1,2,0
300006,30.0,1,1,15.0,2,1,4,6.0,0,5.0,1,3.0,1,3,0,2.0,1,20797.0,1,1,1
300007,54.0,1,1,9.0,2,1,2,3.0,4,3.0,1,4.0,0,5,0,0.0,0,32779.0,2,3,0
300008,47.0,0,1,22.0,3,1,3,1.0,1,3.0,1,2.0,1,2,0,0.0,2,20067.0,1,3,0
300009,26.0,1,3,34.0,3,1,3,3.0,1,4.0,0,2.0,0,3,1,0.0,2,21272.0,1,1,0
300010,45.0,1,1,8.0,2,0,2,4.0,1,3.0,1,2.0,0,4,1,1.0,2,20770.0,1,2,0
300011,34.0,1,1,20.0,2,0,3,4.0,0,3.0,3,5.0,0,3,1,1.0,1,22130.0,1,1,0
300012,38.0,1,1,6.0,2,0,2,3.0,0,5.0,2,4.0,0,2,1,1.0,1,17619.0,1,2,0
300013,42.0,1,2,8.0,1,1,2,3.0,0,3.0,1,1.0,1,4,1,1.0,1,17696.0,1,2,0
300014,31.0,1,1,9.0,2,1,3,5.0,1,3.0,0,3.0,0,4,1,1.0,2,22830.0,1,1,0
300015,34.0,1,3,16.0,2,0,2,3.0,0,3.0,0,2.0,1,2,0,1.0,1,17220.0,1,1,0
300016,24.0,1,1,23.0,2,1,3,4.0,0,4.0,1,2.0,0,3,1,1.0,1,17127.0,1,0,0
300017,36.0,1,1,9.0,2,0,2,3.0,0,3.0,1,6.0,0,2,1,0.0,1,17835.0,1,2,0
300018,29.0,1,1,29.0,2,1,2,1.0,0,3.0,0,2.0,0,2,1,1.0,1,17700.0,1,1,0
300019,46.0,0,3,33.0,2,0,4,4.0,1,5.0,0,4.0,0,2,0,1.0,2,22964.0,1,3,1
300020,32.0,1,2,9.0,2,1,4,5.0,1,5.0,1,5.0,0,3,0,3.0,2,25088.0,2,1,0
300021,32.0,1,3,9.0,2,1,4,4.0,1,3.0,3,6.0,1,5,1,2.0,2,25260.0,2,1,0
300022,33.0,1,1,10.0,3,0,2,4.0,0,4.0,0,7.0,0,4,0,0.0,1,17622.0,1,1,0
300023,31.0,0,3,11.0,3,0,2,3.0,0,4.0,1,2.0,0,3,0,0.0,1,17789.0,1,1,0
300024,33.0,0,3,18.0,2,1,3,3.0,1,3.0,0,2.0,0,3,1,2.0,2,23385.0,1,1,1
300025,47.0,0,1,14.0,3,0,2,4.0,1,3.0,1,4.0,0,5,1,1.0,2,23936.0,1,3,0
300026,52.0,0,1,31.0,3,0,2,4.0,4,3.0,1,4.0,0,5,0,1.0,0,28826.0,2,3,0
300027,41.0,0,1,9.0,3,0,3,2.0,1,4.0,0,3.0,0,3,0,2.0,2,22922.0,1,2,0
300028,50.0,0,3,18.0,3,0,3,3.0,3,3.0,3,5.0,0,5,0,0.0,3,24208.0,1,3,0
300029,50.0,1,1,15.0,2,1,3,3.0,0,3.0,1,5.0,0,5,1,2.0,1,17380.0,1,3,0
300030,32.0,0,3,14.0,3,0,2,3.0,3,3.0,3,2.0,0,4,1,1.0,3,23998.0,1,1,0
300031,26.0,1,1,27.0,3,1,2,3.0,0,3.0,1,2.0,0,5,1,1.0,1,17377.0,1,1,1
300032,44.0,1,1,18.0,2,1,2,4.0,3,3.0,1,3.0,0,1,1,1.0,3,26188.0,2,2,0
300033,28.0,0,1,7.0,1,1,3,5.0,1,5.0,1,7.0,0,3,1,1.0,2,22976.0,1,1,0
300034,42.0,1,3,20.0,3,0,3,4.0,1,3.0,2,1.0,0,3,1,0.0,2,21244.0,1,2,0
300035,40.0,1,3,12.0,1,1,3,4.0,1,3.0,0,5.0,0,2,0,2.0,2,20764.0,1,2,1
300036,52.0,1,3,34.0,2,1,3,4.0,1,3.0,2,3.0,1,5,1,2.0,2,32704.0,2,3,1
300037,41.0,0,1,33.0,3,0,4,5.0,1,3.0,0,5.0,1,2,1,1.0,2,23100.0,1,2,0
